5500000	1
5410000	5
5401000	5
5400100	5
5400010	5
5400001	5
5320000	10
5311000	20
5310100	20
5310010	20
5310001	20
5302000	10
5301100	20
5301010	20
5301001	20
5300200	10
5300110	20
5300101	20
5300020	10
5300011	20
5300002	10
5230000	10
5221000	30
5220100	30
5220010	30
5220001	30
5212000	30
5211100	60
5211010	60
5211001	60
5210200	30
5210110	60
5210101	60
5210020	30
5210011	60
5210002	30
5203000	10
5202100	30
5202010	30
5202001	30
5201200	30
5201110	60
5201101	60
5201020	30
5201011	60
5201002	30
5200300	10
5200210	30
5200201	30
5200120	30
5200111	60
5200102	30
5200030	10
5200021	30
5200012	30
5200003	10
5140000	5
5131000	20
5130100	20
5130010	20
5130001	20
5122000	30
5121100	60
5121010	60
5121001	60
5120200	30
5120110	60
5120101	60
5120020	30
5120011	60
5120002	30
5113000	20
5112100	60
5112010	60
5112001	60
5111200	60
5111110	120
5111101	120
5111020	60
5111011	120
5111002	60
5110300	20
5110210	60
5110201	60
5110120	60
5110111	120
5110102	60
5110030	20
5110021	60
5110012	60
5110003	20
5104000	5
5103100	20
5103010	20
5103001	20
5102200	30
5102110	60
5102101	60
5102020	30
5102011	60
5102002	30
5101300	20
5101210	60
5101201	60
5101120	60
5101111	120
5101102	60
5101030	20
5101021	60
5101012	60
5101003	20
5100400	5
5100310	20
5100301	20
5100220	30
5100211	60
5100202	30
5100130	20
5100121	60
5100112	60
5100103	20
5100040	5
5100031	20
5100022	30
5100013	20
5100004	5
5050000	1
5041000	5
5040100	5
5040010	5
5040001	5
5032000	10
5031100	20
5031010	20
5031001	20
5030200	10
5030110	20
5030101	20
5030020	10
5030011	20
5030002	10
5023000	10
5022100	30
5022010	30
5022001	30
5021200	30
5021110	60
5021101	60
5021020	30
5021011	60
5021002	30
5020300	10
5020210	30
5020201	30
5020120	30
5020111	60
5020102	30
5020030	10
5020021	30
5020012	30
5020003	10
5014000	5
5013100	20
5013010	20
5013001	20
5012200	30
5012110	60
5012101	60
5012020	30
5012011	60
5012002	30
5011300	20
5011210	60
5011201	60
5011120	60
5011111	120
5011102	60
5011030	20
5011021	60
5011012	60
5011003	20
5010400	5
5010310	20
5010301	20
5010220	30
5010211	60
5010202	30
5010130	20
5010121	60
5010112	60
5010103	20
5010040	5
5010031	20
5010022	30
5010013	20
5010004	5
5005000	1
5004100	5
5004010	5
5004001	5
5003200	10
5003110	20
5003101	20
5003020	10
5003011	20
5003002	10
5002300	10
5002210	30
5002201	30
5002120	30
5002111	60
5002102	30
5002030	10
5002021	30
5002012	30
5002003	10
5001400	5
5001310	20
5001301	20
5001220	30
5001211	60
5001202	30
5001130	20
5001121	60
5001112	60
5001103	20
5001040	5
5001031	20
5001022	30
5001013	20
5001004	5
5000500	1
5000410	5
5000401	5
5000320	10
5000311	20
5000302	10
5000230	10
5000221	30
5000212	30
5000203	10
5000140	5
5000131	20
5000122	30
5000113	20
5000104	5
5000050	1
5000041	5
5000032	10
5000023	10
5000014	5
5000005	1
4400000	6
4310000	24
4301000	24
4300100	24
4300010	24
4300001	24
4220000	36
4211000	72
4210100	72
4210010	72
4210001	72
4202000	36
4201100	72
4201010	72
4201001	72
4200200	36
4200110	72
4200101	72
4200020	36
4200011	72
4200002	36
4130000	24
4121000	72
4120100	72
4120010	72
4120001	72
4112000	72
4111100	144
4111010	144
4111001	144
4110200	72
4110110	144
4110101	144
4110020	72
4110011	144
4110002	72
4103000	24
4102100	72
4102010	72
4102001	72
4101200	72
4101110	144
4101101	144
4101020	72
4101011	144
4101002	72
4100300	24
4100210	72
4100201	72
4100120	72
4100111	144
4100102	72
4100030	24
4100021	72
4100012	72
4100003	24
4040000	6
4031000	24
4030100	24
4030010	24
4030001	24
4022000	36
4021100	72
4021010	72
4021001	72
4020200	36
4020110	72
4020101	72
4020020	36
4020011	72
4020002	36
4013000	24
4012100	72
4012010	72
4012001	72
4011200	72
4011110	144
4011101	144
4011020	72
4011011	144
4011002	72
4010300	24
4010210	72
4010201	72
4010120	72
4010111	144
4010102	72
4010030	24
4010021	72
4010012	72
4010003	24
4004000	6
4003100	24
4003010	24
4003001	24
4002200	36
4002110	72
4002101	72
4002020	36
4002011	72
4002002	36
4001300	24
4001210	72
4001201	72
4001120	72
4001111	144
4001102	72
4001030	24
4001021	72
4001012	72
4001003	24
4000400	6
4000310	24
4000301	24
4000220	36
4000211	72
4000202	36
4000130	24
4000121	72
4000112	72
4000103	24
4000040	6
4000031	24
4000022	36
4000013	24
4000004	6
3300000	36
3210000	108
3201000	108
3200100	108
3200010	108
3200001	108
3120000	108
3111000	216
3110100	216
3110010	216
3110001	216
3102000	108
3101100	216
3101010	216
3101001	216
3100200	108
3100110	216
3100101	216
3100020	108
3100011	216
3100002	108
3030000	36
3021000	108
3020100	108
3020010	108
3020001	108
3012000	108
3011100	216
3011010	216
3011001	216
3010200	108
3010110	216
3010101	216
3010020	108
3010011	216
3010002	108
3003000	36
3002100	108
3002010	108
3002001	108
3001200	108
3001110	216
3001101	216
3001020	108
3001011	216
3001002	108
3000300	36
3000210	108
3000201	108
3000120	108
3000111	216
3000102	108
3000030	36
3000021	108
3000012	108
3000003	36
2200000	216
2110000	432
2101000	432
2100100	432
2100010	432
2100001	432
2020000	216
2011000	432
2010100	432
2010010	432
2010001	432
2002000	216
2001100	432
2001010	432
2001001	432
2000200	216
2000110	432
2000101	432
2000020	216
2000011	432
2000002	216
1100000	1296
1010000	1296
1001000	1296
1000100	1296
1000010	1296
1000001	1296
0	7776
